CURRENCY,Bank Buying Rate,Bank Buying Rate1,Bank Buying Rate2,Bank Buying Rate3,Bank Selling Rate,Bank Selling Rate1,Bank Buying Rate4
,,,,,,,
"INR
Indian Rupee",-,-,-,0.34549,0.43836,0.445,
,,,,,,,
"JPY
Yen",0.29022,0.29022,0.29116,0.28483,0.29903,0.295,
,,,,,,,
"KHR
Riel",-,0.00745,0.00748,-,0.00775,-,
,,,,,,,
"KRW
Won",-,-,-,0.0224,0.02877,0.0258,
,,,,,,,
"LAK
Kip",-,-,-,-,0.00366,-,
,,,,,,,
"MYR
Malaysian Ringgit",-,7.41042,7.44042,6.90936,7.63252,7.5,
,,,,,,,
"NOK
Norwegian Krone",3.49438,3.49438,3.50688,3.34169,3.58744,3.44,
,,,,,,,
"NZD
New Zealand Dollar",20.84117,20.84117,20.90492,20.67068,21.45267,20.7,
,,,,,,,
"PHP
Philippine Peso",-,-,-,0.42487,0.65579,0.6,
,,,,,,,
"QAR
Qatari Rial",-,-,-,-,-,8.35,
,,,,,,,
"RUB
Russian Ruble",-,-,-,0.2669,-,0.42,
,,,,,,,
"SAR
Saudi Riyal",-,-,-,6.61773,-,8.3,
,,,,,,,
"SEK
Swedish krona",3.53493,3.53493,3.55743,3.4129,3.61843,3.55,
,,,,,,,
"SGD
Singapore Dollar",22.58626,22.58626,22.65626,22.46324,23.25998,23.0,
,,,,,,,
"TWD
New Taiwan Dollar",-,-,-,0.86757,-,1.02,
,,,,,,,
"VND
Dong",-,-,-,0.00106,0.00168,0.00143,
,,,,,,,
"ZAR
Rand",-,-,-,1.08064,-,1.75,
,,,,,,,
